Views,Title,User,Upload Time,Duration
1411803,Bill Hader Breaking Character Compilation,Kleis Callen,2 weeks,10 minutes  54 seconds
4856468,16 Year Old Takes DMV Drivers Test in Lamborghini Aventador,TheStradman,1 year,13 minutes  27 seconds
15001619,BTS (ë°©íƒ„ì†Œë…„ë‹¨) 'Dynamite' Official MV (Choreography ver.),Big Hit Labels,4 days,3 minutes  26 seconds
2363221,Chiefs vs. Ravens Week 3 Highlights | NFL 2020,NFL,23 hours,16 minutes
364145,Relaxing Soft Classical Music Violin Concerto for Studying Work Sleep 10 Hours,Relax Cafe Music,2 years,10 hours
1386423,Exploring World's LARGEST Haunted House | Winchester Mystery House,Sam and Colby,2 days,43 minutes
4315055,Tate McRae you broke me first Lyrics,Popular Music,2 months,2 minutes  50 seconds
2048892,the most CHAOTIC game of Among Us ever...,Disguised Toast,2 days,17 minutes
4597802,Mexican Moms Rank Mexican Snacks,MaMah,1 month,6 minutes  6 seconds
54999537,I Gave My Credit Card To Random People,MrBeast,7 months,16 minutes
4836745,Monster's Inc on my School's Loudspeaker,PFummin,1 year,18 seconds
976484,6LACK Live From The Ledge,6LACK Streamed,1 month,39 minutes
3195196,Nas Ultra Black (Official Video),Mass Appeal,1 month,3 minutes  22 seconds
16433328,Beyonce Blue Ivy SAINt JHN WizKid BROWN SKIN GIRL (Official Video),BeyoncÃ©,1 month,6 minutes  12 seconds
1315893,6LACK ft. Lil Baby - Know My Rights (Official Visualizer),6LACK,1 month,3 minutes  13 seconds
8715485,Pharrell Williams - Entrepreneur (Official Video) ft. JAY-Z,Pharrell Williams,1 month,5 minutes  30 seconds
2154411,H.E.R. Performs I Can't Breathe 2020 Roots Picnic Virtual Experience,The Roots,3 months,11 minutes  42 seconds
10505338,DaBaby - ROCKSTAR ft. Roddy Ricch (BLM Remix) ft. Roddy Ricch,DaBaby,3 months,3 minutes  26 seconds
1243398,Public Enemy Is Joined Nas Black Thought More For Rendition of Fight The Power | BET Awards 20,BETNetworks,3 months,5 minutes  47 seconds
481089,Kiana LedÃ© - Dear Mr. President,Kiana LedÃ©,3 months,4 minutes  52 seconds
4025268,Dax - BLACK LIVES MATTER (Official Music Video),Dax,3 months,3 minutes  20 seconds
81616345,Lil Baby - The Bigger Picture (Official Music Video),Lil Baby Official 4PF,3 months,4 minutes  17 seconds
9484510,Usher - I Cry (Official Video),Usher,2 months,3 minutes  47 seconds
20063736,Five Little Birds 3 More Nursery Rhymes Kids Songs CoComelon,Cocomelon - Nursery Rhymes,10 months,37 minutes
26749671,OMG HIS VOICE IS UNIQUE- Michael Jackson - Billie Jean | Allie Sherlock Fabio Rodrigues,Allie Sherlock,2 months,4 minutes  43 seconds
3032744,Fast Food Done Right With Gordon Ramsay,Gordon Ramsay,5 days,16 minutes
544605,Algorithms Course - Graph Theory Tutorial from a Google Engineer,freeCodeCamp.org,11 months,6 hours  44 minutes
70311,Global coronavirus deaths surpass 1 million â€” Here's a timeline of how we got here,CNBC Television,9 hours,4 minutes  20 seconds
191385,Titans Vikings close facilities after Titans players test positive for the coronavirus | First Take,ESPN,9 hours,7 minutes  10 seconds
358,Trump defends his response to coronavirus pandemic,CBS News,21 minutes,1 minute  51 seconds
168,New York City students return to class as coronavirus cases spike,CBS Evening News,2 hours,2 minutes  14 seconds
49934,How Is the Coronavirus Pandemic Changing Our World?,Bloomberg QuickTake: Now,22 hours,3 minutes  1 second
1480,Worldwide Coronavirus Death Toll Surpasses 1 Million | NBC Nightly News,NBC News,2 hours,2 minutes  39 seconds
7946,Coronavirus: Back-to-school in person learning raises concerns about COVID-19 transmission,Yahoo Finance,11 hours,4 minutes  20 seconds
944,Coronavirus deaths pass 1 million globally,Reuters,17 hours,1 minute  49 seconds
97418,New York Gov. Andrew Cuomo holds a news conference on coronavirus â€” 9/29/2020,CNBC Television Streamed,9 hours,1 hour  17 minutes
1103465,Music For StudyingðŸŽµ Relaxing Music Best Collection 3 Hours (Tido Kang Mix),Tido Kang,3 months,3 hours  16 minutes
16192477,6 Underground,Ryan Reynolds,2 years,25 seconds
4218052,Henry Returns To Danger Force!? | Danger Force,Henry Danger Official,1 month,3 minutes  42 seconds
17517958,'Superman dive' at finish line gives 400m hurdler dramatic victory,RT en EspaÃ±ol,1 year,31 seconds
